"date","site","visit","track_id","habitat_code","house_id","tot_traps","n_Mna","Mna_per_trap","Rra_at_site"
"2019-08-17","Guala",1,"H9","H","Guala-1-H9",6,0,0,1
"2019-08-17","Guala",1,"H10","H","Guala-1-H10",6,0,0,1
"2019-08-17","Guala",1,"H11","H","Guala-1-H11",6,0,0,1
"2019-08-17","Guala",1,"H12","H","Guala-1-H12",6,0,0,1
"2019-10-22","Guala",2,"H1","H","Guala-2-H1",6,0,0,1
"2019-10-22","Guala",2,"H2","H","Guala-2-H2",6,0,0,1
"2019-10-22","Guala",2,"H3","H","Guala-2-H3",6,0,0,1
"2019-10-22","Guala",2,"H4","H","Guala-2-H4",6,0,0,1
"2019-10-22","Guala",2,"H5","H","Guala-2-H5",6,0,0,1
"2019-10-22","Guala",2,"H6","H","Guala-2-H6",6,0,0,1
"2019-10-22","Guala",2,"H7","H","Guala-2-H7",6,0,0,1
"2019-10-22","Guala",2,"H8","H","Guala-2-H8",6,0,0,1
"2019-10-22","Guala",2,"H9","H","Guala-2-H9",6,0,0,1
"2019-10-22","Guala",2,"H10","H","Guala-2-H10",6,0,0,1
"2019-10-22","Guala",2,"H11","H","Guala-2-H11",6,0,0,1
"2019-10-22","Guala",2,"H12","H","Guala-2-H12",6,0,0,1
"2019-12-18","Guala",3,"H1","H","Guala-3-H1",6,0,0,1
"2019-12-18","Guala",3,"H2","H","Guala-3-H2",6,0,0,1
"2019-12-18","Guala",3,"H3","H","Guala-3-H3",6,0,0,1
"2019-12-18","Guala",3,"H4","H","Guala-3-H4",6,0,0,1
"2019-12-18","Guala",3,"H5","H","Guala-3-H5",6,0,0,1
"2019-12-18","Guala",3,"H6","H","Guala-3-H6",6,0,0,1
"2019-12-18","Guala",3,"H7","H","Guala-3-H7",6,0,0,1
"2019-12-18","Guala",3,"H8","H","Guala-3-H8",6,0,0,1
"2019-12-18","Guala",3,"H9","H","Guala-3-H9",6,0,0,1
"2019-12-18","Guala",3,"H10","H","Guala-3-H10",6,0,0,1
"2019-12-18","Guala",3,"H11","H","Guala-3-H11",6,0,0,1
